Student Name,Department,Date,Rating,Feedback,Sentiment
Student_1,CSE,19/01/2024,4,"Amazing experience, learned a lot.",Positive
Student_2,IT,18/01/2024,2,Average event.,Negative
Student_3,ECE,05/02/2024,1,Too boring and disorganized.,Negative
Student_4,EEE,29/01/2024,2,Some sessions were useful.,Positive
Student_5,IT,23/02/2024,4,Very informative and fun!,Positive
Student_6,Civil,18/02/2024,1,Too boring and disorganized.,Negative
Student_7,CSE,05/01/2024,4,Excellent arrangements and coordination.,Positive
Student_8,Civil,22/02/2024,4,"Amazing experience, learned a lot.",Positive
Student_9,ECE,13/01/2024,4,Very informative and fun!,Positive
Student_10,ME,12/01/2024,5,"Amazing experience, learned a lot.",Positive
Student_11,EEE,02/01/2024,2,Very disappointing experience.,Negative
Student_12,ME,06/01/2024,2,Very disappointing experience.,Negative
Student_13,ME,04/01/2024,5,Excellent arrangements and coordination.,Positive
Student_14,CSE,24/02/2024,3,"Not bad, not great.",Negative
Student_15,EEE,05/02/2024,1,Too boring and disorganized.,Negative
Student_16,ECE,14/01/2024,2,Too boring and disorganized.,Negative
Student_17,CSE,29/02/2024,3,Average event.,Negative
Student_18,EEE,24/02/2024,2,Some sessions were useful.,Positive
Student_19,Civil,07/02/2024,3,Some sessions were useful.,Positive
Student_20,CSE,01/03/2024,2,"It was okay, could be better.",Positive
Student_21,ME,19/02/2024,2,Lacked planning and structure.,Neutral
Student_22,IT,09/01/2024,3,"It was okay, could be better.",Positive
Student_23,CSE,16/02/2024,4,Very informative and fun!,Positive
Student_24,ME,07/02/2024,2,"Not bad, not great.",Negative
Student_25,CSE,10/02/2024,4,Loved the sessions and speakers.,Positive
Student_26,CSE,18/02/2024,2,It was decent.,Positive
Student_27,CSE,02/02/2024,2,Very disappointing experience.,Negative
Student_28,IT,24/02/2024,4,Loved the sessions and speakers.,Positive
Student_29,Civil,24/01/2024,4,"Great event, well organized!",Positive
Student_30,IT,17/01/2024,2,It was decent.,Positive
Student_31,IT,10/02/2024,2,It was decent.,Positive
Student_32,ME,25/02/2024,3,It was decent.,Positive
Student_33,EEE,19/01/2024,4,Very informative and fun!,Positive
Student_34,Civil,07/01/2024,4,"Great event, well organized!",Positive
Student_35,Civil,22/01/2024,3,"Not bad, not great.",Negative
Student_36,ME,11/02/2024,5,"Great event, well organized!",Positive
Student_37,IT,23/01/2024,1,Not worth the time.,Negative
Student_38,ME,28/01/2024,4,"Great event, well organized!",Positive
Student_39,ECE,14/01/2024,4,"Great event, well organized!",Positive
Student_40,EEE,15/02/2024,4,"Great event, well organized!",Positive
Student_41,EEE,25/02/2024,2,It was decent.,Positive
Student_42,IT,01/03/2024,5,Very informative and fun!,Positive
Student_43,EEE,10/01/2024,4,Loved the sessions and speakers.,Positive
Student_44,EEE,15/02/2024,2,Average event.,Negative
Student_45,Civil,31/01/2024,2,Average event.,Negative
Student_46,Civil,06/01/2024,2,It was decent.,Positive
Student_47,Civil,08/01/2024,3,Average event.,Negative
Student_48,Civil,10/01/2024,3,Average event.,Negative
Student_49,ME,03/01/2024,3,Some sessions were useful.,Positive
Student_50,ECE,09/02/2024,2,"It was okay, could be better.",Positive
